"filename", "language", "SCSS", "HTML", "TypeScript", "comment", "blank", "total"
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\central\central.component.html", "HTML", 0, 11, 0, 0, 0, 11
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\central\central.component.scss", "SCSS", 74, 0, 0, 29, 11, 114
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\central\central.component.ts", "TypeScript", 0, 0, 72, 2, 17, 91
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\config\config.component.html", "HTML", 0, 8, 0, 0, 0, 8
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\config\config.component.scss", "SCSS", 27, 0, 0, 0, 7, 34
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\config\config.component.ts", "TypeScript", 0, 0, 15, 0, 10, 25
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\confirm\confirm.component.html", "HTML", 0, 15, 0, 0, 0, 15
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\confirm\confirm.component.scss", "SCSS", 3, 0, 0, 0, 0, 3
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\confirm\confirm.component.ts", "TypeScript", 0, 0, 18, 0, 6, 24
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\follow-up.component.html", "HTML", 0, 5, 0, 0, 0, 5
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\follow-up.component.scss", "SCSS", 23, 0, 0, 5, 3, 31
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\follow-up.component.ts", "TypeScript", 0, 0, 18, 0, 10, 28
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\right-click\right-click.component.html", "HTML", 0, 13, 0, 0, 2, 15
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\right-click\right-click.component.scss", "SCSS", 18, 0, 0, 4, 10, 32
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\right-click\right-click.component.ts", "TypeScript", 0, 0, 47, 2, 18, 67
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\search-agent\search-agent.component.html", "HTML", 0, 18, 0, 0, 0, 18
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\search-agent\search-agent.component.scss", "SCSS", 38, 0, 0, 0, 9, 47
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\search-agent\search-agent.component.ts", "TypeScript", 0, 0, 25, 0, 8, 33
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\tab-dasboard\tab-dasboard.component.html", "HTML", 0, 19, 0, 0, 8, 27
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\tab-dasboard\tab-dasboard.component.scss", "SCSS", 118, 0, 0, 6, 16, 140
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\tab-dasboard\tab-dasboard.component.ts", "TypeScript", 0, 0, 83, 209, 30, 322
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\dashboard.component.html", "HTML", 0, 19, 0, 2, 5, 26
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\dashboard.component.scss", "SCSS", 51, 0, 0, 0, 8, 59
